time,Salinity,Temperature,Chlorophyll_a,Nitrate,Longwave Irradiance,Shortwave Irradiance,Wind Speed
2019-01-01,34,11.14,1.09,4.27,292.25,91.86,10.39
2019-01-02,34.06,11.23,1.03,4.33,294.89,80.33,6.35
2019-01-03,33.87,10.71,1.25,4.29,295.45,84.84,5.65
2019-01-04,33.91,10.67,1.18,4.64,290.05,98.7,6.52
2019-01-05,33.85,10.6,1.24,4.72,288.93,92.62,5.46
2019-01-06,33.64,10.02,1.08,4.86,297,90.94,8.9
2019-01-07,33.7,9.89,1.04,5.01,295.37,91.14,9.34
2019-01-08,33.86,10.21,1.03,5.1,293.73,88.95,6.51
2019-01-09,33.78,10.02,0.89,5.56,276.89,125.01,9.15
2019-01-10,33.7,9.83,0.74,5.68,276.35,121.09,10.45
2019-01-11,33.34,8.9,0.65,5.78,286.89,90.94,10.17
2019-01-12,33.19,8.32,0.7,5.8,274.27,124.61,7.41
2019-01-13,33.17,8.21,0.66,5.9,267.95,120.77,5.19
2019-01-14,34.05,10.19,0.52,5.96,261.74,139.32,10.72
2019-01-15,34.63,11.54,0.44,5.25,268.25,133.06,5.36
2019-01-16,34.32,10.54,0.66,5.58,280.5,101.72,6.56
2019-01-17,34.13,10,0.73,5.56,290.78,95.86,6.35
2019-01-18,34.51,10.77,0.67,5.9,287.01,95.78,5.62
2019-01-19,34.49,11.02,0.68,5.99,284.57,99.01,4.91
2019-01-20,34.39,10.73,0.72,6.04,286.34,98.49,8.32
2019-01-21,34.48,10.91,0.48,6.55,300.62,80.1,14.3
2019-01-22,34.17,10.06,0.56,6.43,297.48,81.48,12.58
2019-01-23,34.08,9.92,0.63,6.31,285.58,112.11,6.06
2019-01-24,33.98,9.75,0.67,6.27,272.42,134.53,10.13
2019-01-25,34.03,9.85,0.67,6.22,276.23,134.47,8.77
2019-01-26,33.98,9.55,0.69,6.03,285.27,110,5.91
2019-01-27,33.52,8.21,0.99,6.07,285.24,117.71,5.3
2019-01-28,33.44,8.1,0.95,5.81,270.15,127.42,6.96
2019-01-29,33.66,8.69,0.85,6.12,264.6,143.3,6.94
2019-01-30,33.21,7.61,0.79,6.21,265.27,137.46,7.78
2019-01-31,33.76,8.89,0.88,6.58,266.84,133.63,10.35
2019-02-01,33.35,7.53,0.77,6.41,268.55,139.66,7.87
2019-02-02,,,,6.21,274.62,139.41,6.54
2019-02-03,,,,6.13,272,147.72,5.23
2019-02-04,,,,6.01,285.56,138.63,2.58
2019-02-05,,,,6.09,298.08,124.97,2.72
2019-02-06,,,,5.45,297.79,128.42,5.44
2019-02-07,,,,6.18,290.56,160.51,5.79
2019-02-08,,,,5.88,287.25,162.31,4.64
2019-02-09,,,,5.56,282.48,152.33,10.8
2019-02-10,,,,5.29,290.35,145.87,6.73
2019-02-11,,,,5.42,278.56,159.68,4.34
2019-02-12,,,,4.98,273.43,170.68,8.2
2019-02-13,,,,5.03,282.93,154.69,8.77
2019-02-14,,,,5,284.73,152.85,10.31
2019-02-15,,,,4.77,289.21,144.98,6.14
2019-02-16,,,,4.95,280.23,183.07,6.32
2019-02-17,,,,5.11,273.08,176.16,4.72
2019-02-18,,,,3.94,281.94,169.63,6.15
2019-02-19,,,,4.24,279.64,167.08,8.92
2019-02-20,,,,4.43,275.25,168.04,5.02
2019-02-21,,,,5.2,291.98,120.34,8.28
2019-02-22,,,,4.2,285.85,132.05,5.52
2019-02-23,,,,4.11,287.98,124.87,4.83
2019-02-24,,,,5.3,287.94,131.27,8.26
2019-02-25,,,,4.97,284.23,128.02,13.85
2019-02-26,,,,5.16,284.36,123.11,11.3
2019-02-27,,,,5.69,292.31,112.08,6.4
2019-02-28,,,,6.13,284.26,134.12,6.69
2019-03-01,,,,6.48,290.04,133.11,6.22
2019-03-02,,,,6.69,290.11,133.84,10
2019-03-03,,,,6.48,288.07,140.28,4.01
2019-03-04,,,,6.54,281.93,172.58,9.17
2019-03-05,,,,7.02,275.04,200.69,6.38
2019-03-06,,,,7.35,267.67,225.27,8.66
2019-03-07,,,,7.25,269.84,205.11,8.49
2019-03-08,,,,7.19,265.98,221.29,4.95
2019-03-09,,,,7.17,265.68,185.42,3.5
2019-03-10,,,,7.08,263.66,210.63,8.93
2019-03-11,,,,7.13,272.69,195.88,6.19
2019-03-12,,,,7.14,285.96,177.5,7.95
2019-03-13,,,,7.01,288.9,,4.62
2019-03-14,,,,6.8,279.46,,3.19
2019-03-15,,,,6.68,269.98,,7.55
2019-03-16,,,,7.08,267.89,,7.69
2019-03-17,,,,6.64,268.59,,7.26
2019-03-18,,,,6.4,264.05,,5.8
2019-03-19,,,,6.49,264.62,,5.29
2019-03-20,,,,6.38,262,,3.52
2019-03-21,,,,6.41,262.65,,6.65
2019-03-22,,,,5.93,275.76,,7.99
2019-03-23,,,,6.45,281.62,,12.1
2019-03-24,,,,7.06,279.09,,8.49
2019-03-25,,,,6.97,273.32,,5.42
2019-03-26,,,,6.45,268.98,273.5,5.66
2019-03-27,,,,6.62,276.13,243.76,6.3
2019-03-28,,,,6.5,288.15,192.62,4.73
2019-03-29,,,,6.49,279.44,213.69,5.64
2019-03-30,,,,6.41,276.56,281.4,4.19
2019-03-31,,,,6.41,288.25,280.73,7.57
2019-04-01,,,,6.36,289.55,243.78,9.27
2019-04-02,,,,6.44,284.57,246.41,4.92
2019-04-03,,,,6.52,285.38,253.87,11.16
2019-04-04,,,,6.43,278.2,309.57,6.12
2019-04-05,33.31,7.35,1.28,6.44,290.78,280.57,5.65
2019-04-06,33.08,6.55,1.1,4.78,304.38,237.28,5.05
2019-04-07,33,6.44,1.39,3.01,303.25,237.08,2.81
2019-04-08,33.04,6.9,2.48,0.84,306.15,248.99,5.51
2019-04-09,33.04,6.96,3.38,0.73,316.35,214.5,5.76
2019-04-10,32.98,6.74,1.88,0.92,314.09,212.87,4.7
2019-04-11,32.97,6.92,2.23,0.98,320.44,152.45,4.67
2019-04-12,33.01,7.01,2.88,0.98,,,3.72
2019-04-13,33.2,7.05,1.5,1.41,,,
2019-04-14,33.29,7.96,2.24,3.26,,,
2019-04-15,33.49,9.36,2.16,2.51,,,
2019-04-16,32.96,7.32,0.79,2.63,,,8.75
2019-04-17,33.03,7.65,0.53,2.8,316.83,283.75,3.36
2019-04-18,33.28,8.5,0.96,2.22,325.37,251.38,6.14
2019-04-19,33.75,10.08,1.46,2.22,329.07,240.54,6.74
2019-04-20,32.61,7.1,0.93,2.08,342.14,181.08,6.97
2019-04-21,32.52,7.24,1.58,1.68,345.62,180.9,3.86
2019-04-22,32.68,7.73,2.04,0.83,340.58,206.24,4.59
2019-04-23,33.26,9.91,2.96,0.32,343.74,183.7,4.48
2019-04-24,33.4,10.63,2.19,0.4,337.94,200.37,5.44
2019-04-25,33.53,11.11,1.12,,330.8,202.1,3.38
2019-04-26,33.34,10.86,1.07,0.08,318.59,221.23,5.65
2019-04-27,33.57,11.34,1.09,0.16,317.25,220.28,8.08
2019-04-28,33.86,11.73,1.34,,320.22,195.79,5.14
2019-04-29,33.66,11.26,1.35,,331.28,180.81,4.48
2019-04-30,33.74,11.75,1.35,,330.7,190.8,4.82
2019-05-01,33.75,11.81,1.42,,337.51,164.64,2.34
2019-05-02,33.63,11.42,1.45,,343.8,155.16,4.9
2019-05-03,33.14,9.7,2.36,,353.84,148.67,5.7
2019-05-04,33.26,10.24,1.73,0.05,345.97,169.54,3.03
2019-05-05,33.56,11.1,1.69,,345.29,191.52,6.84
2019-05-06,33.81,11.61,1.12,0.11,336.73,207.48,8.77
2019-05-07,34.01,12.32,0.97,,336.31,206.37,2.96
2019-05-08,33.25,9.72,1.14,,331.35,228.63,3.28
2019-05-09,33.48,10.94,1.14,0.16,329.55,231.22,4.65
2019-05-10,33.23,10.12,1.69,,330.93,208.89,6.56
2019-05-11,33.39,11.33,1.7,0.56,339,185.95,4.44
2019-05-12,33.51,11.68,1.28,0.15,335.45,187.01,7.24
2019-05-13,33.97,11.11,1.36,0.48,335.98,187.12,10
2019-05-14,33.78,10.54,1.23,1.23,330.66,202.12,7.08
2019-05-15,33.91,11.76,1.64,,325.7,207.67,4.23
2019-05-16,34.16,12.61,1.82,3.11,320.47,241.5,4.1
2019-05-17,34.12,12.83,1.53,2.08,321.94,269.06,4.7
2019-05-18,34.11,13,1.27,0.67,318.87,291.78,3.68
2019-05-19,34.16,13.13,1.17,0.12,314.77,298.73,4.83
2019-05-20,34.14,13.69,0.91,0.1,318.89,271.6,6.35
2019-05-21,33.59,12.58,1.14,0.09,322.02,278.08,6.12
2019-05-22,32.69,10.87,0.91,0.04,320.5,280.82,5.05
2019-05-23,33.06,11.19,1.34,0.04,327.43,269.09,4.72
2019-05-24,32.97,10.63,1.46,0.1,324.41,272.95,7.43
2019-05-25,33.16,11.66,1.38,0.05,327.61,253.27,4.1
2019-05-26,33.13,11.59,1.68,0.06,340.79,241.25,4.76
2019-05-27,32.81,11.43,1.36,0.06,345.34,257.96,3.63
2019-05-28,33.24,13.73,0.91,0.06,347.85,260.51,3.79
2019-05-29,34.68,18.87,0.4,0.04,356.69,239.45,4.88
2019-05-30,34.81,19.69,0.19,0.07,356.17,237.86,4.33
2019-05-31,34.98,20.26,0.15,0.06,356.85,229.47,3.85
2019-06-01,35.34,21.03,0.28,0.05,348.42,249.92,3.18
2019-06-02,35.37,19.85,0.41,0.06,343.66,256.07,2.8
2019-06-03,35.1,20,0.29,0.07,346.8,258.13,4.02
2019-06-04,35.11,20.16,0.31,0.07,347.37,247.01,4.63
2019-06-05,35.12,20.16,0.37,0.09,343.64,268.74,5.4
2019-06-06,34.93,20.17,0.41,0.08,334.36,285.21,5.3
2019-06-07,34.91,20.47,0.31,0.11,334.72,275.46,3
2019-06-08,35.03,20.7,0.26,0.14,349.75,254.07,3.24
2019-06-09,35.14,20.61,0.27,0.14,345.61,253.68,4.7
2019-06-10,35.09,20.69,0.3,0.13,342.98,242.12,5.36
2019-06-11,35.15,21.13,0.26,0.17,340.01,247.89,4.92
2019-06-12,35.21,21.21,0.25,0.13,337.59,248.61,3.02
2019-06-13,35.27,21.06,0.23,0.12,348.07,236.6,6.76
2019-06-14,35.23,21.24,0.16,0.1,353.55,236.47,5.04
2019-06-15,35.12,20.87,0.16,0.11,354.54,228.56,4.74
2019-06-16,35.19,21.22,0.15,0.09,366.98,208.71,6.36
2019-06-17,34.82,20.64,0.23,0.12,371.27,217.52,3.33
2019-06-18,34.11,19.6,0.26,0.15,378.84,195.61,2.99
2019-06-19,34.6,20.72,0.26,0.19,381.42,199.87,3.04
2019-06-20,33.62,18.67,0.29,0.27,374.58,217.06,4.09
2019-06-21,32.66,16.67,0.48,0.38,367.26,236.22,5.1
2019-06-22,32.7,16.79,0.44,0.37,365.6,238.44,4.94
2019-06-23,32.81,16.72,0.48,0.51,364.79,259.78,4.51
2019-06-24,33.02,17.39,0.43,0.52,361.37,269.72,4.74
2019-06-25,32.88,17.3,0.49,0.52,355.9,299.92,4.5
2019-06-26,32.46,16.29,0.63,0.57,362.57,284.78,2.85
2019-06-27,32.95,17.92,0.49,0.51,369.73,280.99,2.01
2019-06-28,33.86,21.02,0.18,0.58,370.56,283.41,2.33
2019-06-29,34.05,21.41,0.18,0.6,367.32,296.37,4.19
2019-06-30,34.72,22.35,0.17,0.58,365.89,303.4,
2019-07-01,33.72,20.55,0.28,0.72,364.76,310.09,
2019-07-02,33.12,20.11,0.31,0.76,368.01,309.45,
2019-07-03,32.6,18.85,0.62,0.69,372.66,314.76,
2019-07-04,32.11,18.13,0.61,0.74,376.89,305.49,
2019-07-05,32.74,18.48,0.35,0.75,378.6,280.37,
2019-07-06,33.06,19.16,0.39,0.59,373.71,298.18,
2019-07-07,33.14,21.01,0.38,0.85,372.7,295.49,
2019-07-08,33.66,22.36,0.28,0.82,374.81,292.59,
2019-07-09,34.47,23.3,0.15,0.87,378.19,280.32,
2019-07-10,34.58,23.58,0.16,0.85,371.38,289.66,
2019-07-11,35.01,24.4,0.11,0.91,367.28,301.42,
2019-07-12,35.05,24.87,0.11,1.07,367.98,320.99,
2019-07-13,34.76,24.39,0.13,1.11,372.69,316.5,
2019-07-14,34.39,23.9,0.15,1.12,375.89,306.77,
2019-07-15,33.01,22.35,0.24,1.27,382.12,281.69,
2019-07-16,32.54,21.96,0.29,1.24,385.61,274.21,
2019-07-17,32.52,22.25,0.33,1.38,391.81,271.16,
2019-07-18,32.33,22.5,0.36,1.45,397.41,269.45,
2019-07-19,32.21,22.66,0.36,1.55,405.23,270.81,
2019-07-20,32.3,22.84,0.25,1.47,412.74,247.13,
2019-07-21,32.58,23.4,0.16,1.56,412.78,236.71,
2019-07-22,32.85,24.69,0.13,1.44,402.97,259.48,
2019-07-23,33.51,25.04,0.14,1.85,391.2,277.49,
2019-07-24,34.28,25.34,0.18,1.57,381.74,277.79,
2019-07-25,34.58,25.09,0.15,1.35,374.5,277.29,
2019-07-26,34.22,24.55,0.16,1.26,371.24,276.66,
2019-07-27,33.29,22.82,0.24,1.15,367.74,299.38,
2019-07-28,32.92,22.01,0.26,1.05,366.41,319.79,
2019-07-29,32.99,22.61,0.24,1.21,371.92,309.86,
2019-07-30,33.14,22.98,0.18,1.4,374.62,299.56,
2019-07-31,33.29,23.38,0.16,1.5,379.41,295.04,
2019-08-01,33.23,22.62,0.24,1.56,382.57,290.38,
2019-08-02,33.26,21.93,0.26,1.37,381.46,285.92,
2019-08-03,33.12,21.24,0.3,1.32,382.7,255.82,
2019-08-04,33.13,21.75,0.23,1.23,381.17,249.47,
2019-08-05,33.53,22.08,0.2,1.2,379.81,259.54,
2019-08-06,34.04,23.41,0.19,1.1,380.65,268.13,
2019-08-07,33.67,23.44,0.18,1.76,378.52,270.67,
2019-08-08,34.2,24.83,0.14,,372.59,275.06,
2019-08-09,34.35,25.19,0.15,,369.42,278.85,
2019-08-10,34.12,25,0.16,,370.15,279.12,
2019-08-11,34.12,24.33,0.14,,375.46,266.34,
2019-08-12,34.17,24.48,0.14,,377.08,255.16,
2019-08-13,34.36,25.22,0.15,,379.33,234.74,
2019-08-14,34.38,25.52,0.14,1.23,385.19,217.44,
2019-08-15,,,0.15,,396.08,206.03,
2019-08-16,,,0.14,,404.05,201.94,
2019-08-17,,,0.13,,402.43,227.78,
2019-08-18,,,0.12,,401.02,226.18,
2019-08-19,,,0.13,,401.39,231.29,
2019-08-20,,,0.12,,404,229.68,
2019-08-21,,,0.13,,397.14,245.31,
2019-08-22,,,0.12,,390.76,237.32,
2019-08-23,,,0.12,,381.96,238.74,
2019-08-24,,,0.12,,373.91,225.99,
2019-08-25,,,0.13,,375.26,213.15,
2019-08-26,,,0.12,,375.68,202.17,
2019-08-27,,,0.12,,367.35,220.26,
2019-08-28,,,0.13,,368.61,217.13,
2019-08-29,,,0.16,,363.31,229.47,
2019-08-30,,,0.16,,364.43,224.09,
2019-08-31,,,0.13,,370.84,235.97,
2019-09-01,,,0.11,,365.16,260.26,
2019-09-02,,,0.11,,363.34,256.82,
2019-09-03,,,0.12,,371.17,219.76,
2019-09-04,,,0.13,,374.9,200.41,
2019-09-05,,,0.16,,376.62,198.4,
2019-09-06,,,0.25,,378,192.92,
2019-09-07,,,0.41,,373.47,189.85,
2019-09-08,,,0.44,,372.38,187.03,
2019-09-09,,,0.26,,372.49,177.36,
2019-09-10,,,0.18,,361.35,211.75,
2019-09-11,,,0.15,,355.25,224.58,
2019-09-12,,,0.17,,363.84,200.16,
2019-09-13,35.2,22.81,0.29,1.4,365.89,193.16,
2019-09-14,35.29,22.84,0.3,1.38,361.88,194.77,
2019-09-15,35.46,23.23,0.29,1.39,359.17,180.4,
2019-09-16,35.54,23.5,0.28,1.38,348.88,204.3,
2019-09-17,35.7,23.81,0.24,1.41,347.19,200.29,
2019-09-18,35.67,23.04,0.48,1.43,346.49,200.41,
2019-09-19,35.63,22.89,0.51,1.36,337.62,220.81,
2019-09-20,35.89,23.47,0.4,1.31,335.55,226.66,
2019-09-21,35.86,23.06,0.47,1.32,343.03,218.62,
2019-09-22,35.85,23.05,0.34,1.38,338.74,233.9,
2019-09-23,35.8,23.04,0.34,1.4,340.95,237.21,
2019-09-24,35.46,22.62,0.33,1.46,342.49,238.59,
2019-09-25,35.47,23.72,0.19,1.45,339.27,237.17,
2019-09-26,35.52,23.76,0.16,1.43,343.38,235.16,5.26
2019-09-27,35.73,24.01,0.19,0.45,336.7,235.16,4.52
2019-09-28,35.81,24.02,0.17,,332.59,219.63,4.01
2019-09-29,35.87,24.17,0.11,,341.08,205.68,5.5
2019-09-30,36.03,24.45,0.18,0.01,346.4,174.24,5.75
2019-10-01,35.99,24.16,0.11,0.07,352.52,160.96,4.66
2019-10-02,36.03,23.83,0.26,0.05,351.42,155.21,7.59
2019-10-03,35.99,23.71,0.26,0.05,345.52,147.41,9.13
2019-10-04,35.98,23.55,0.28,0.05,351.57,138.34,8.24
2019-10-05,36.03,23.45,0.34,0.04,357.56,127.66,6.51
2019-10-06,35.99,23.17,0.4,0.09,358.02,113.3,5.15
2019-10-07,35.73,22.62,0.34,0.1,358.26,107.77,8.66
2019-10-08,35.66,22.39,0.43,0.08,360.06,90.81,8.35
2019-10-09,35.5,21.96,0.42,0.09,370.14,71.4,13.13
2019-10-10,35.5,21.71,0.35,0.25,372.43,70.42,15.71
2019-10-11,35.13,20.42,0.26,1.08,374.1,64.82,15.4
2019-10-12,35.91,22.88,0.27,0.86,361.33,90.28,11.72
2019-10-13,36.07,23.3,0.33,1.1,351.87,101.67,4.13
2019-10-14,36.08,23.48,0.52,0.87,349.99,110.25,4.32
2019-10-15,36.03,23.38,0.55,0.7,345.38,121.3,5.51
2019-10-16,36,23.17,0.73,0.84,335.73,136.65,5.51
2019-10-17,35.85,22.14,0.65,0.78,331.68,127.24,14.51
2019-10-18,35.73,20.44,0.71,1.15,331.71,123.15,9.61
2019-10-19,35.75,20.25,0.68,1.66,340.94,105.56,5.73
2019-10-20,35.61,19.8,0.77,1.78,347.02,108.86,2.92
2019-10-21,35.47,19.49,0.81,1.7,335.71,121.34,10.95
2019-10-22,35.5,19.67,0.78,1.44,329.8,121.71,7.62
2019-10-23,34.44,17.16,0.71,1.11,331.21,123.4,7.31
2019-10-24,34.5,17.2,0.78,0.98,338.62,113.23,4.98
2019-10-25,34.53,17.21,1.11,1.24,335.72,113.12,3.92
2019-10-26,34.74,17.83,1.01,1.3,336.22,116.12,5.9
2019-10-27,34.78,17.88,0.88,1.27,340.91,105.02,9.17
2019-10-28,35.2,18.93,0.88,1.42,356.24,91.45,9.42
2019-10-29,35.61,20.29,0.97,1.8,360.38,96.51,7.21
2019-10-30,35.56,20.27,0.98,1.62,357.58,86.79,6.29
2019-10-31,35.57,20.4,1.13,1.25,347.82,106.4,8.45
2019-11-01,35.59,20.54,0.91,1.17,337.41,117.17,11.11
2019-11-02,,,,1.22,333.58,112.36,4.49
2019-11-03,,,,1.02,318.03,125.3,6.01
2019-11-04,,,,0.75,306.15,127.43,4.53
2019-11-05,,,,0.94,303.87,118.6,7.01
2019-11-06,,,,0.75,300.09,121.72,6.72
2019-11-07,,,,0.85,300.57,111.72,6.22
2019-11-08,,,,0.9,304.01,104.81,10.01
2019-11-09,,,,0.97,303.9,99.26,5.27
2019-11-10,,,,1.01,302.43,92.13,5.94
2019-11-11,,,,0.98,299.33,90.08,6.43
2019-11-12,34.98,17.76,0.74,0.89,302.97,82.44,9.56
2019-11-13,35.12,17.82,0.53,1.11,302.65,80.55,10.72
2019-11-14,35.1,17.66,0.52,1.16,306.07,74.27,4.38
2019-11-15,35.24,17.9,0.5,1.12,313.71,64.74,6.41
2019-11-16,35.33,17.93,0.44,1.28,313.57,71.08,10.68
2019-11-17,35.36,17.69,0.47,1.91,322.74,59.26,11.15
2019-11-18,35.2,17.25,0.57,1.47,323.69,69.04,12.99
2019-11-19,34.31,15.45,1.18,1.57,321.94,72.12,5.3
2019-11-20,34.31,15.52,1.22,1.48,320.47,74.89,6.23
2019-11-21,34.29,15.03,1.26,2.07,324.18,74,7.43
2019-11-22,34.56,15.64,0.98,2.39,314.66,85.09,8.08
2019-11-23,34.66,15.73,0.89,2.68,308.59,89.79,8.15
2019-11-24,34.77,15.91,0.99,3.05,309.39,90.11,8.34
2019-11-25,34.53,15.23,1.07,2.92,315.79,75.42,8.95
2019-11-26,34.33,14.58,1.54,2.45,311.49,78.08,5.46
2019-11-27,34.12,14.28,1.63,2.31,308.81,79.26,5.34
2019-11-28,34.22,14.57,1.36,2.44,297.66,81.49,12.13
2019-11-29,34.73,15.5,0.95,3.04,307.17,68.46,10.15
2019-11-30,34.72,15.32,1.02,3.21,312.29,57.18,8.4
2019-12-01,34.46,14.4,1.27,3.16,305.47,58.95,6.08
2019-12-02,34.39,14.4,1.23,2.83,302.01,59.43,10.78
2019-12-03,34.35,14.33,0.9,3.34,301.53,59.84,11.88
2019-12-04,34.73,14.78,0.62,4.16,306.9,54.03,6.87
2019-12-05,34.58,14.3,0.65,4.29,302.59,61.51,8.62
2019-12-06,34.26,13.45,0.76,4.26,299.88,61.8,8.9
2019-12-07,34.74,14.46,0.59,4.3,305.22,63.3,8.18
2019-12-08,35.05,15.05,0.51,4.39,311.12,61.38,4.76
2019-12-09,35.14,15.16,0.52,4.51,301.78,73.97,8.69
2019-12-10,35.16,15.36,0.5,4.79,300.29,71.63,9.07
2019-12-11,34.43,13.8,0.93,4.47,312.95,60.05,6.96
2019-12-12,33.94,12.67,0.96,4.33,323.24,50.71,7.4
2019-12-13,33.93,12.54,0.86,4.25,317.71,51,7.59
2019-12-14,34.31,13.49,0.69,4.1,314.77,47.84,9.06
2019-12-15,34.11,13.14,0.62,4.2,312.45,53.58,12.43
2019-12-16,34.87,14.45,0.34,4.74,315.4,45.24,7.03
2019-12-17,34.56,13.64,0.48,4.71,310.83,48.61,5.66
2019-12-18,33.97,12.52,0.57,4.71,296.86,55.08,8.33
2019-12-19,34.41,13.11,0.47,4.88,291.74,64.72,12.17
2019-12-20,34.06,11.96,0.65,4.91,288.54,75.35,9.09
2019-12-21,33.91,11.51,0.75,5.05,277.1,91.66,3.71
2019-12-22,33.65,11.03,0.84,5.27,268.59,95.47,5.54
2019-12-23,33.44,10.69,0.99,5.59,274.37,90.71,6.66
2019-12-24,33.37,10.65,0.99,5.55,282.16,88.04,7
2019-12-25,33.38,10.62,1.13,5.99,285,95.18,4.04
2019-12-26,33.29,10.62,1.17,5.71,284.15,93.29,4.43
2019-12-27,33.39,10.73,1.09,5.45,293.63,81.01,4.59
2019-12-28,33.06,10.17,0.98,4.61,305.3,68.67,5.84
2019-12-29,33.47,10.78,1.37,5.41,313.22,64,4.9
2019-12-30,33.67,11.18,1.13,4.73,314.02,68.47,10.24
2019-12-31,33.89,11.71,1.06,4.78,,,7.88